title, release, cast1, cast2, cast3, cast4, cast5, crew1, crew2, crew3, crew4, crew5, genra, NotListed, Crime, Romance, Animation, Music, Comedy, TVMovie, Horror, War, Adventure, Thriller, Western, Mystery, Kids, ScienceFiction, Foreign, Drama, Action, Documentary, History, Family, Fantasy,,
Lumber Jack-Rabbit, 1954-11-13, Mel Blanc, Norman Nesbitt, , , , Chuck Jones, Michael Maltese, Edward Selzer, Carl W. Stalling, , Animation-Comedy,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
What Ever Happened to Baby Jane?, 1991-02-17, Vanessa Redgrave, Lynn Redgrave, , , , David Greene, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Life in a Day, 2011-01-27, Cindy Baer, Moica, Caryn Waechter, Drake Shannon, , Kevin Macdonald, Liza Marshall, Harry Gregson-Williams, Matthew Herbert, Joe Walker, Documentary-Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,
The Eighteen Carat Virgin, 1972-11-27, Nicole Vadim, , , , , Emilio Portici, Joseph P. Mawra, Emilio Portici, , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
My Little Pony: Twinkle Wish Adventure, 2009-10-13, Janyse Jaud, Anna Cummer, Chantal Strand, Andrea Libman, Tabitha St. Germain, Sherri Stoner, Luke Guidici, John Grusd, , , Family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
Sweet Savior, 1971-09-01, Troy Donahue, Renay Granville, Francine Middleton, Tallie Cochrane, Matt Greene, Robert L. Roberts, Lloyd Kaufman, , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Vampires Suck, 2010-08-18, Chris Riggi, Matt Lanter, Jenn Proske, Ken Jeong, Bradley Dodds, Jason Friedberg, Aaron Seltzer, Jason Friedberg, Aaron Seltzer, Jason Friedberg, Comedy-Horror,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Janis Joplin: Piece Of My Heart, 2009-01-01, Janis Joplin, , , , , , , , , , Music,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Gang Master, 1982-04-28, Chen Kuan-Tai, Jason Pai Piao, Ku Feng, Bruce Leung Siu-Lung, Austin Wai, Tsui Siu-Ming, Tsui Siu-Ming, Mona Fong, Chiang Hsing-Lung, , Action-Foreign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,
The Dark Backward, 1991-07-26, Judd Nelson, Bill Paxton, Rob Lowe, Wayne Newton, , Adam Rifkin, Adam Rifkin, , , , Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
